"county","tract","zcta","CountyName","ZIPName","hus20","afact"
"County code","Tract","ZIP census tabulation area","County name","ZIP Code name","Total housing units (2020 Census)","tract-to-zcta allocation factor"
"09001","0604.00","06880","Fairfield CT","Westport, CT",34,0.0213 
"09001","0604.00","06890","Fairfield CT","Southport, CT",32,0.0201 
"09001","0605.00","06824","Fairfield CT","Fairfield, CT",327,0.3247 
"09001","0605.00","06890","Fairfield CT","Southport, CT",680,0.6753 
"09001","0606.00","06890","Fairfield CT","Southport, CT",1107,1 
"09001","0607.00","06824","Fairfield CT","Fairfield, CT",1898,1 
"09001","0608.00","06824","Fairfield CT","Fairfield, CT",793,1 
"09001","0609.00","06824","Fairfield CT","Fairfield, CT",926,1 
"09001","0610.00","06824","Fairfield CT","Fairfield, CT",438,0.257 
"09001","0610.00","06825","Fairfield CT","Fairfield, CT",1266,0.743 
"09001","0611.00","06825","Fairfield CT","Fairfield, CT",1330,1 
"09001","0612.00","06825","Fairfield CT","Fairfield, CT",880,1 
"09001","0613.00","06824","Fairfield CT","Fairfield, CT",470,0.3821 
"09001","0613.00","06825","Fairfield CT","Fairfield, CT",760,0.6179 
"09001","0614.00","06824","Fairfield CT","Fairfield, CT",654,0.477 
"09001","0614.00","06825","Fairfield CT","Fairfield, CT",717,0.523 
"09001","0615.00","06824","Fairfield CT","Fairfield, CT",1861,1 
"09001","0616.00","06824","Fairfield CT","Fairfield, CT",2223,1 
"09001","0701.00","06605","Fairfield CT","Bridgeport, CT",2788,1 
"09001","0702.00","06605","Fairfield CT","Bridgeport, CT",1858,1 
"09001","0703.00","06605","Fairfield CT","Bridgeport, CT",477,1 
"09001","0704.00","06604","Fairfield CT","Bridgeport, CT",610,1 
"09001","0705.00","06604","Fairfield CT","Bridgeport, CT",761,1 
"09001","0706.00","06604","Fairfield CT","Bridgeport, CT",1748,1 
"09001","0709.00","06604","Fairfield CT","Bridgeport, CT",207,0.2066 
"09001","0709.00","06605","Fairfield CT","Bridgeport, CT",795,0.7934 
"09001","0710.00","06605","Fairfield CT","Bridgeport, CT",1296,1 
"09001","0711.00","06604","Fairfield CT","Bridgeport, CT",354,0.217 
"09001","0711.00","06605","Fairfield CT","Bridgeport, CT",1277,0.783 
"09001","0712.00","06604","Fairfield CT","Bridgeport, CT",516,0.2544 
"09001","0712.00","06605","Fairfield CT","Bridgeport, CT",1512,0.7456 
"09001","0713.00","06604","Fairfield CT","Bridgeport, CT",1501,1 
"09001","0714.00","06604","Fairfield CT","Bridgeport, CT",1394,1 
"09001","0716.00","06604","Fairfield CT","Bridgeport, CT",880,1 
"09001","0719.00","06606","Fairfield CT","Bridgeport, CT",1646,1 
"09001","0720.00","06604","Fairfield CT","Bridgeport, CT",502,0.3719 
"09001","0720.00","06606","Fairfield CT","Bridgeport, CT",848,0.6281 
"09001","0721.00","06604","Fairfield CT","Bridgeport, CT",2739,1 
"09001","0722.00","06604","Fairfield CT","Bridgeport, CT",712,0.4085 
"09001","0722.00","06606","Fairfield CT","Bridgeport, CT",1031,0.5915 
"09001","0723.00","06606","Fairfield CT","Bridgeport, CT",1900,1 
"09001","0724.00","06606","Fairfield CT","Bridgeport, CT",956,1 
"09001","0725.00","06606","Fairfield CT","Bridgeport, CT",2357,1 
"09001","0726.00","06604","Fairfield CT","Bridgeport, CT",273,0.0883 
"09001","0726.00","06606","Fairfield CT","Bridgeport, CT",2817,0.9117 
"09001","0727.00","06606","Fairfield CT","Bridgeport, CT",1335,1 
"09001","0728.00","06606","Fairfield CT","Bridgeport, CT",1973,1 
"09001","0729.00","06606","Fairfield CT","Bridgeport, CT",1587,0.9994 
"09001","0729.00","06611","Fairfield CT","Trumbull, CT",1,0.0006 
"09001","0730.00","06610","Fairfield CT","Bridgeport, CT",705,1 
