"county","tract","cousub20","CountyName","MCDName","hus20","afact"
"County code","Tract","County subdivision (2020)","County name","County subdivision / MCD name","Total housing units (2020 Census)","tract-to-cousub20 allocation factor"
"09001","0738.00","08070","Fairfield CT","Bridgeport town, Fairfield CT",869,1 
"09001","0739.00","08070","Fairfield CT","Bridgeport town, Fairfield CT",1413,1 
"09001","0740.00","08070","Fairfield CT","Bridgeport town, Fairfield CT",883,1 
"09001","0743.00","08070","Fairfield CT","Bridgeport town, Fairfield CT",1877,1 
"09001","0744.00","08070","Fairfield CT","Bridgeport town, Fairfield CT",1801,1 
"09001","0801.00","74190","Fairfield CT","Stratford town, Fairfield CT",1937,1 
"09001","0802.00","74190","Fairfield CT","Stratford town, Fairfield CT",1657,1 
"09001","0804.00","74190","Fairfield CT","Stratford town, Fairfield CT",2309,1 
"09001","0805.00","74190","Fairfield CT","Stratford town, Fairfield CT",1564,1 
"09001","0806.00","74190","Fairfield CT","Stratford town, Fairfield CT",1239,1 
"09001","0807.00","74190","Fairfield CT","Stratford town, Fairfield CT",996,1 
"09001","0808.00","74190","Fairfield CT","Stratford town, Fairfield CT",1894,1 
"09001","0809.00","74190","Fairfield CT","Stratford town, Fairfield CT",1930,1 
"09001","0810.00","74190","Fairfield CT","Stratford town, Fairfield CT",1788,1 
"09001","0811.00","74190","Fairfield CT","Stratford town, Fairfield CT",1813,1 
"09001","0812.00","74190","Fairfield CT","Stratford town, Fairfield CT",1989,1 
"09001","0813.00","74190","Fairfield CT","Stratford town, Fairfield CT",2527,1 
"09001","0901.00","77200","Fairfield CT","Trumbull town, Fairfield CT",1243,1 
"09001","0902.00","77200","Fairfield CT","Trumbull town, Fairfield CT",2951,1 
"09001","0903.00","77200","Fairfield CT","Trumbull town, Fairfield CT",1677,1 
"09001","0904.00","77200","Fairfield CT","Trumbull town, Fairfield CT",2457,1 
"09001","0905.00","77200","Fairfield CT","Trumbull town, Fairfield CT",1710,1 
"09001","0906.00","77200","Fairfield CT","Trumbull town, Fairfield CT",1343,1 
"09001","0907.00","77200","Fairfield CT","Trumbull town, Fairfield CT",1778,1 
"09001","1001.00","48620","Fairfield CT","Monroe town, Fairfield CT",2179,1 
"09001","1002.00","48620","Fairfield CT","Monroe town, Fairfield CT",2455,1 
"09001","1003.00","48620","Fairfield CT","Monroe town, Fairfield CT",2284,1 
"09001","1051.00","23890","Fairfield CT","Easton town, Fairfield CT",1532,1 
"09001","1052.00","23890","Fairfield CT","Easton town, Fairfield CT",1224,1 
"09001","1101.00","68170","Fairfield CT","Shelton town, Fairfield CT",1405,1 
"09001","1102.01","68170","Fairfield CT","Shelton town, Fairfield CT",1982,1 
"09001","1102.02","68170","Fairfield CT","Shelton town, Fairfield CT",2235,1 
"09001","1103.01","68170","Fairfield CT","Shelton town, Fairfield CT",3024,1 
"09001","1103.02","68170","Fairfield CT","Shelton town, Fairfield CT",1556,1 
"09001","1104.00","68170","Fairfield CT","Shelton town, Fairfield CT",1821,1 
"09001","1105.00","68170","Fairfield CT","Shelton town, Fairfield CT",2036,1 
"09001","1106.01","68170","Fairfield CT","Shelton town, Fairfield CT",1083,1 
"09001","1106.02","68170","Fairfield CT","Shelton town, Fairfield CT",2032,1 
"09001","2001.00","04720","Fairfield CT","Bethel town, Fairfield CT",1644,1 
"09001","2002.00","04720","Fairfield CT","Bethel town, Fairfield CT",2623,1 
"09001","2003.01","04720","Fairfield CT","Bethel town, Fairfield CT",1773,1 
"09001","2003.02","04720","Fairfield CT","Bethel town, Fairfield CT",1940,1 
"09001","2051.00","08980","Fairfield CT","Brookfield town, Fairfield CT",1923,1 
"09001","2052.00","08980","Fairfield CT","Brookfield town, Fairfield CT",2548,1 
"09001","2053.00","08980","Fairfield CT","Brookfield town, Fairfield CT",2645,1 
"09001","2101.01","18500","Fairfield CT","Danbury town, Fairfield CT",1354,1 
"09001","2101.02","18500","Fairfield CT","Danbury town, Fairfield CT",1448,1 
"09001","2102.01","18500","Fairfield CT","Danbury town, Fairfield CT",1260,1 
"09001","2102.02","18500","Fairfield CT","Danbury town, Fairfield CT",1027,1 
"09001","2103.00","18500","Fairfield CT","Danbury town, Fairfield CT",2190,1 
"09001","2104.01","18500","Fairfield CT","Danbury town, Fairfield CT",1801,1 
"09001","2104.02","18500","Fairfield CT","Danbury town, Fairfield CT",1761,1 
"09001","2105.01","18500","Fairfield CT","Danbury town, Fairfield CT",1383,1 
"09001","2105.02","18500","Fairfield CT","Danbury town, Fairfield CT",3239,1 
