"zcta","state","sduni20","stab","ZIPName","uschlnm20","hus20","afact"
"ZIP census tabulation area","State code","Unified school district (2020)","State abbr.","ZIP Code name","Unified school district name 2020","Total housing units (2020 Census)","zcta-to-sduni20 allocation factor"
"06375","09","04860","CT","Quaker Hill, CT","Waterford School District",1555,0.993 
"06376","09","03540","CT","South Lyme, CT (PO boxes)","Regional School District 18",84,1 
"06377","09","99999","CT","Sterling, CT","[not in any district]",1140,1 
"06378","09","04380","CT","Stonington, CT","Stonington School District",3054,1 
"06379","09","04380","CT","Pawcatuck, CT","Stonington School District",4255,1 
"06380","09","03120","CT","Taftville, CT","Norwich School District",1548,1 
"06382","09","02580","CT","Uncasville, CT","Montville School District",4388,0.9991 
"06382","09","04860","CT","Uncasville, CT","Waterford School District",4,0.0009 
"06384","09","99999","CT","Voluntown, CT","[not in any district]",1148,1 
"06385","09","04860","CT","Waterford, CT","Waterford School District",7309,1 
"06387","09","03270","CT","Wauregan, CT (PO boxes)","Plainfield School District",136,1 
"06389","09","03120","CT","Yantic, CT","Norwich School District",44,1 
"06401","09","00060","CT","Ansonia, CT","Ansonia School District",8095,0.9977 
"06401","09","01110","CT","Ansonia, CT","Derby School District",19,0.0023 
"06403","09","03538","CT","Beacon Falls, CT","Regional School District 16",2611,1 
"06405","09","00420","CT","Branford, CT","Branford School District",14147,0.9999 
"06405","09","01800","CT","Branford, CT","Guilford School District",2,0.0001 
"06409","09","99999","CT","Centerbrook, CT","[not in any district]",382,1 
"06410","09","00750","CT","Cheshire, CT","Cheshire School District",10678,0.9993 
"06410","09","03538","CT","Cheshire, CT","Regional School District 16",7,0.0007 
"06412","09","99999","CT","Chester, CT","[not in any district]",1793,1 
"06413","09","00810","CT","Clinton, CT","Clinton School District",6267,1 
"06414","09","01230","CT","Cobalt, CT (PO boxes)","East Hampton School District",120,0.9917 
"06414","09","03390","CT","Cobalt, CT (PO boxes)","Portland School District",1,0.0083 
"06415","09","00840","CT","Colchester, CT","Colchester School District",6441,0.909 
"06415","09","01200","CT","Colchester, CT","East Haddam School District",643,0.0907 
"06415","09","99999","CT","Colchester, CT","[not in any district]",2,0.0003 
"06416","09","00990","CT","Cromwell, CT","Cromwell School District",6162,1 
"06417","09","99999","CT","Deep River, CT","[not in any district]",2112,1 
"06418","09","00060","CT","Derby, CT","Ansonia School District",9,0.0016 
"06418","09","01110","CT","Derby, CT","Derby School District",5740,0.9984 
"06419","09","03539","CT","Killingworth, CT","Regional School District 17",2601,1 
"06420","09","01200","CT","Salem, CT","East Haddam School District",23,0.0132 
"06420","09","99999","CT","Salem, CT","[not in any district]",1717,0.9868 
"06422","09","03535","CT","Durham, CT","Regional School District 13",2828,1 
"06423","09","01200","CT","East Haddam, CT","East Haddam School District",2294,1 
"06424","09","01230","CT","East Hampton, CT","East Hampton School District",5349,0.9666 
"06424","09","03539","CT","East Hampton, CT","Regional School District 17",185,0.0334 
"06426","09","99999","CT","Essex, CT","[not in any district]",1809,1 
"06437","09","00420","CT","Guilford, CT","Branford School District",2,0.0002 
"06437","09","01800","CT","Guilford, CT","Guilford School District",9688,0.9998 
"06438","09","03539","CT","Haddam, CT","Regional School District 17",1103,1 
"06439","09","03540","CT","Hadlyme, CT (PO boxes)","Regional School District 18",55,1 
"06441","09","03539","CT","Higganum, CT","Regional School District 17",2252,1 
"06442","09","99999","CT","Ivoryton, CT","[not in any district]",1138,1 
"06443","09","01800","CT","Madison, CT","Guilford School District",3,0.0004 
"06443","09","02280","CT","Madison, CT","Madison School District",8060,0.9996 
"06444","09","04230","CT","Marion, CT (PO boxes)","Southington School District",246,1 
"06447","09","99999","CT","Marlborough, CT","[not in any district]",2388,1 
"06450","09","02400","CT","Meriden, CT","Meriden School District",15552,1 
"06451","09","02400","CT","Meriden, CT","Meriden School District",10625,0.9979 
"06451","09","04230","CT","Meriden, CT","Southington School District",22,0.0021 
"06455","09","03535","CT","Middlefield, CT","Regional School District 13",1302,1 
"06456","09","01230","CT","Middle Haddam, CT (PO boxes)","East Hampton School District",168,1 
"06457","09","02490","CT","Middletown, CT","Middletown School District",21632,1 
"06459","09","02490","CT","Middletown, CT","Middletown School District",39,1 
"06460","09","02520","CT","Milford, CT","Milford School District",17783,1 
"06461","09","02520","CT","Milford, CT","Milford School District",5966,1 
"06467","09","04230","CT","Milldale, CT (PO boxes)","Southington School District",151,1 
"06468","09","02550","CT","Monroe, CT","Monroe School District",6918,1 
"06469","09","01200","CT","Moodus, CT","East Haddam School District",1517,1 
"06470","09","02910","CT","Newtown, CT","Newtown School District",6147,1 
"06471","09","00420","CT","North Branford, CT","Branford School District",31,0.0097 
"06471","09","02970","CT","North Branford, CT","North Branford School District",3153,0.9903 
"06472","09","02970","CT","Northford, CT","North Branford School District",2480,1 
"06473","09","01290","CT","North Haven, CT","East Haven School District",92,0.0091 
"06473","09","03030","CT","North Haven, CT","North Haven School District",9981,0.9905 
"06473","09","04740","CT","North Haven, CT","Wallingford School District",4,0.0004 
"06475","09","03180","CT","Old Saybrook, CT","Old Saybrook School District",5870,1 
"06477","09","99999","CT","Orange, CT","[not in any district]",5480,1 
"06478","09","03240","CT","Oxford, CT","Oxford School District",5014,1 
"06479","09","04230","CT","Plantsville, CT","Southington School District",4152,1 
"06480","09","03390","CT","Portland, CT","Portland School District",4127,1 
"06481","09","03535","CT","Rockfall, CT","Regional School District 13",580,1 
"06482","09","02910","CT","Sandy Hook, CT","Newtown School District",4172,1 
"06483","09","03990","CT","Seymour, CT","Seymour School District",7112,1 
"06484","09","04050","CT","Shelton, CT","Shelton School District",17174,1 
"06488","09","03240","CT","Southbury, CT","Oxford School District",8,0.0009 
"06488","09","03537","CT","Southbury, CT","Regional School District 15",9270,0.9991 
"06489","09","04230","CT","Southington, CT","Southington School District",13571,1 
"06492","09","00750","CT","Wallingford, CT","Cheshire School District",80,0.0042 
"06492","09","01860","CT","Wallingford, CT","Hamden School District",5,0.0003 
"06492","09","04740","CT","Wallingford, CT","Wallingford School District",18934,0.9955 
"06498","09","00810","CT","Westbrook, CT","Clinton School District",16,0.004 
"06498","09","04980","CT","Westbrook, CT","Westbrook School District",3976,0.996 
"06510","09","02790","CT","New Haven, CT","New Haven School District",3051,1 
"06511","09","01860","CT","New Haven, CT","Hamden School District",70,0.0029 
"06511","09","02790","CT","New Haven, CT","New Haven School District",24191,0.9971 
"06512","09","01290","CT","East Haven, CT","East Haven School District",9641,0.7342 
"06512","09","02790","CT","East Haven, CT","New Haven School District",3490,0.2658 
"06513","09","01290","CT","New Haven, CT","East Haven School District",2661,0.1663 
"06513","09","02790","CT","New Haven, CT","New Haven School District",13343,0.8337 
"06514","09","01860","CT","Hamden, CT","Hamden School District",11409,0.9968 
"06514","09","02790","CT","Hamden, CT","New Haven School District",37,0.0032 
"06515","09","02790","CT","New Haven, CT","New Haven School District",7368,1 
"06516","09","04950","CT","West Haven, CT","West Haven School District",22735,1 
"06517","09","01860","CT","Hamden, CT","Hamden School District",6839,1 
"06518","09","01860","CT","Hamden, CT","Hamden School District",7661,1 
"06519","09","02790","CT","New Haven, CT","New Haven School District",6045,1 
"06524","09","99999","CT","Bethany, CT","[not in any district]",2039,1 
"06525","09","99999","CT","Woodbridge, CT","[not in any district]",3476,1 
"06604","09","00450","CT","Bridgeport, CT","Bridgeport School District",12342,1 
"06605","09","00450","CT","Bridgeport, CT","Bridgeport School District",10003,1 
"06606","09","00450","CT","Bridgeport, CT","Bridgeport School District",17902,1 
"06607","09","00450","CT","Bridgeport, CT","Bridgeport School District",3435,1 
"06608","09","00450","CT","Bridgeport, CT","Bridgeport School District",5510,1 
"06610","09","00450","CT","Bridgeport, CT","Bridgeport School District",9681,1 
"06611","09","00450","CT","Trumbull, CT","Bridgeport School District",1,0.0001 
"06611","09","04620","CT","Trumbull, CT","Trumbull School District",13159,0.9999 
"06612","09","99999","CT","Easton, CT","[not in any district]",2756,1 
"06614","09","04440","CT","Stratford, CT","Stratford School District",13720,1 
"06615","09","04440","CT","Stratford, CT","Stratford School District",7923,1 
"06702","09","04830","CT","Waterbury, CT","Waterbury School District",2100,1 
"06704","09","04830","CT","Waterbury, CT","Waterbury School District",11030,1 
"06705","09","03538","CT","Waterbury, CT","Regional School District 16",6,0.0005 
"06705","09","04830","CT","Waterbury, CT","Waterbury School District",11766,0.9943 
"06705","09","05280","CT","Waterbury, CT","Wolcott School District",61,0.0052 
"06706","09","04830","CT","Waterbury, CT","Waterbury School District",5999,1 
"06708","09","04830","CT","Waterbury, CT","Waterbury School District",13041,1 
"06710","09","04830","CT","Waterbury, CT","Waterbury School District",4422,1 
"06712","09","02640","CT","Prospect, CT","Naugatuck School District",158,0.0422 
"06712","09","03538","CT","Prospect, CT","Regional School District 16",3587,0.9578 
"06716","09","05280","CT","Wolcott, CT","Wolcott School District",6347,1 
"06750","09","02220","CT","Bantam, CT","Litchfield School District",779,1 
"06751","09","03536","CT","Bethlehem, CT","Regional School District 14",1597,1 
"06752","09","03530","CT","Bridgewater, CT","Regional School District 12",866,1 
"06753","09","99999","CT","Cornwall, CT (PO boxes)","[not in any district]",63,1 
"06754","09","03515","CT","Cornwall Bridge, CT","Regional School District 06",493,0.5841 
"06754","09","99999","CT","Cornwall Bridge, CT","[not in any district]",351,0.4159 
"06755","09","02850","CT","Gaylordsville, CT","New Milford School District",471,1 
"06756","09","03515","CT","Goshen, CT","Regional School District 06",1648,0.9982 
"06756","09","99999","CT","Goshen, CT","[not in any district]",3,0.0018 
"06757","09","99999","CT","Kent, CT","[not in any district]",1205,1 
"06758","09","03515","CT","Lakeside, CT","Regional School District 06",24,1 
"06759","09","02220","CT","Litchfield, CT","Litchfield School District",2628,0.956 
"06759","09","03515","CT","Litchfield, CT","Regional School District 06",32,0.0116 
"06759","09","04590","CT","Litchfield, CT","Torrington School District",28,0.0102 
"06759","09","99999","CT","Litchfield, CT","[not in any district]",61,0.0222 
"06762","09","03537","CT","Middlebury, CT","Regional School District 15",3047,1 
"06763","09","03515","CT","Morris, CT","Regional School District 06",1229,1 
"06770","09","02640","CT","Naugatuck, CT","Naugatuck School District",13098,0.986 
"06770","09","03538","CT","Naugatuck, CT","Regional School District 16",152,0.0114 
"06770","09","04830","CT","Naugatuck, CT","Waterbury School District",34,0.0026 
"06776","09","02850","CT","New Milford, CT","New Milford School District",11404,0.9998 
"06776","09","03530","CT","New Milford, CT","Regional School District 12",2,0.0002 
"06777","09","03515","CT","New Preston Marble Dale, CT","Regional School District 06",293,0.2731 
"06777","09","03530","CT","New Preston Marble Dale, CT","Regional School District 12",780,0.7269 
"06778","09","02220","CT","Northfield, CT","Litchfield School District",523,1 
"06779","09","04890","CT","Oakville, CT","Watertown School District",3565,1 
"06782","09","03330","CT","Plymouth, CT","Plymouth School District",988,1 
"06783","09","03530","CT","Roxbury, CT","Regional School District 12",1160,1 
"06784","09","02850","CT","Sherman, CT","New Milford School District",36,0.0193 
"06784","09","99999","CT","Sherman, CT","[not in any district]",1834,0.9807 
"06785","09","99999","CT","South Kent, CT","[not in any district]",444,1 
"06786","09","03330","CT","Terryville, CT","Plymouth School District",4158,1 
"06787","09","02220","CT","Thomaston, CT","Litchfield School District",27,0.008 
"06787","09","03330","CT","Thomaston, CT","Plymouth School District",5,0.0015 
"06787","09","04500","CT","Thomaston, CT","Thomaston School District",3340,0.9905 
"06790","09","04590","CT","Torrington, CT","Torrington School District",16998,0.9964 
"06790","09","05160","CT","Torrington, CT","Winchester School District",52,0.003 
"06790","09","99999","CT","Torrington, CT","[not in any district]",9,0.0005 
"06791","09","02220","CT","Harwinton, CT","Litchfield School District",9,0.0039 
"06791","09","03520","CT","Harwinton, CT","Regional School District 10",2313,0.9902 
"06791","09","04590","CT","Harwinton, CT","Torrington School District",14,0.006 
"06793","09","03530","CT","Washington, CT","Regional School District 12",675,1 
"06794","09","02850","CT","Washington Depot, CT","New Milford School District",17,0.0276 
"06794","09","03530","CT","Washington Depot, CT","Regional School District 12",599,0.9724 
"06795","09","03536","CT","Watertown, CT","Regional School District 14",8,0.0014 
"06795","09","04890","CT","Watertown, CT","Watertown School District",5572,0.9986 
"06796","09","99999","CT","West Cornwall, CT","[not in any district]",687,1 
"06798","09","03536","CT","Woodbury, CT","Regional School District 14",4584,1 
"06801","09","00270","CT","Bethel, CT","Bethel School District",7926,1 
"06804","09","00540","CT","Brookfield, CT","Brookfield School District",7116,0.9882 
"06804","09","01020","CT","Brookfield, CT","Danbury School District",82,0.0114 
"06804","09","02910","CT","Brookfield, CT","Newtown School District",3,0.0004 
"06807","09","01710","CT","Cos Cob, CT","Greenwich School District",2845,1 
"06810","09","00270","CT","Danbury, CT","Bethel School District",54,0.0025 
"06810","09","01020","CT","Danbury, CT","Danbury School District",21518,0.9975 
"06811","09","01020","CT","Danbury, CT","Danbury School District",11962,1 
"06812","09","02730","CT","New Fairfield, CT","New Fairfield School District",5635,1 
"06820","09","01050","CT","Darien, CT","Darien School District",7265,1 
"06824","09","01530","CT","Fairfield, CT","Fairfield School District",12194,1 
"06825","09","01530","CT","Fairfield, CT","Fairfield School District",7935,1 
"06830","09","01710","CT","Greenwich, CT","Greenwich School District",11040,1 
"06831","09","01710","CT","Greenwich, CT","Greenwich School District",6086,0.9859 
"06831","09","04320","CT","Greenwich, CT","Stamford School District",87,0.0141 
"06840","09","02700","CT","New Canaan, CT","New Canaan School District",7499,0.9996 
"06840","09","03090","CT","New Canaan, CT","Norwalk School District",3,0.0004 
"06850","09","03090","CT","Norwalk, CT","Norwalk School District",8968,1 
"06851","09","03090","CT","Norwalk, CT","Norwalk School District",11825,1 
"06853","09","03090","CT","Norwalk, CT","Norwalk School District",1548,1 
"06854","09","03090","CT","Norwalk, CT","Norwalk School District",12031,1 
"06855","09","03090","CT","Norwalk, CT","Norwalk School District",3760,0.9989 
"06855","09","05040","CT","Norwalk, CT","Westport School District",4,0.0011 
"06870","09","01710","CT","Old Greenwich, CT","Greenwich School District",2801,1 
"06877","09","03810","CT","Ridgefield, CT","Ridgefield School District",9506,0.9979 
"06877","09","99999","CT","Ridgefield, CT","[not in any district]",20,0.0021 
"06878","09","01710","CT","Riverside, CT","Greenwich School District",2896,1 
"06880","09","01530","CT","Westport, CT","Fairfield School District",34,0.0032 
"06880","09","03090","CT","Westport, CT","Norwalk School District",17,0.0016 
"06880","09","05040","CT","Westport, CT","Westport School District",10563,0.9952 
"06883","09","05010","CT","Weston, CT","Weston School District",3671,1 
"06890","09","01530","CT","Southport, CT","Fairfield School District",1819,1 
"06896","09","99999","CT","Redding, CT","[not in any district]",3642,1 
"06897","09","05130","CT","Wilton, CT","Wilton School District",6567,0.9997 
"06897","09","99999","CT","Wilton, CT","[not in any district]",2,0.0003 
"06901","09","04320","CT","Stamford, CT","Stamford School District",6508,1 
"06902","09","01710","CT","Stamford, CT","Greenwich School District",9,0.0003 
"06902","09","04320","CT","Stamford, CT","Stamford School District",28328,0.9997 
"06903","09","04320","CT","Stamford, CT","Stamford School District",5296,1 
"06905","09","04320","CT","Stamford, CT","Stamford School District",8939,1 
"06906","09","04320","CT","Stamford, CT","Stamford School District",3966,1 
"06907","09","02700","CT","Stamford, CT","New Canaan School District",3,0.0008 
"06907","09","04320","CT","Stamford, CT","Stamford School District",3829,0.9992 
