"state","sduni20","zcta","stab","ZIPName","uschlnm20","hus20","afact"
"State code","Unified school district (2020)","ZIP census tabulation area","State abbr.","ZIP Code name","Unified school district name 2020","Total housing units (2020 Census)","sduni20-to-zcta allocation factor"
"09","99999","06525","CT","Woodbridge, CT","[not in any district]",3476,0.0389 
"09","99999","06612","CT","Easton, CT","[not in any district]",2756,0.0308 
"09","99999","06753","CT","Cornwall, CT (PO boxes)","[not in any district]",63,0.0007 
"09","99999","06754","CT","Cornwall Bridge, CT","[not in any district]",351,0.0039 
"09","99999","06756","CT","Goshen, CT","[not in any district]",3,0 
"09","99999","06757","CT","Kent, CT","[not in any district]",1205,0.0135 
"09","99999","06759","CT","Litchfield, CT","[not in any district]",61,0.0007 
"09","99999","06784","CT","Sherman, CT","[not in any district]",1834,0.0205 
"09","99999","06785","CT","South Kent, CT","[not in any district]",444,0.005 
"09","99999","06790","CT","Torrington, CT","[not in any district]",9,0.0001 
"09","99999","06796","CT","West Cornwall, CT","[not in any district]",687,0.0077 
"09","99999","06877","CT","Ridgefield, CT","[not in any district]",20,0.0002 
"09","99999","06896","CT","Redding, CT","[not in any district]",3642,0.0407 
"09","99999","06897","CT","Wilton, CT","[not in any district]",2,0 
