"state","sduni20","zcta","stab","ZIPName","uschlnm20","hus20","afact"
"State code","Unified school district (2020)","ZIP census tabulation area","State abbr.","ZIP Code name","Unified school district name 2020","Total housing units (2020 Census)","sduni20-to-zcta allocation factor"
"09","01050","06820","CT","Darien, CT","Darien School District",7265,1 
"09","01110","06401","CT","Ansonia, CT","Derby School District",19,0.0033 
"09","01110","06418","CT","Derby, CT","Derby School District",5740,0.9967 
"09","01170","06026","CT","East Granby, CT","East Granby School District",2177,0.9973 
"09","01170","06035","CT","Granby, CT","East Granby School District",6,0.0027 
"09","01200","06415","CT","Colchester, CT","East Haddam School District",643,0.1436 
"09","01200","06420","CT","Salem, CT","East Haddam School District",23,0.0051 
"09","01200","06423","CT","East Haddam, CT","East Haddam School District",2294,0.5124 
"09","01200","06469","CT","Moodus, CT","East Haddam School District",1517,0.3388 
"09","01230","06414","CT","Cobalt, CT (PO boxes)","East Hampton School District",120,0.0213 
"09","01230","06424","CT","East Hampton, CT","East Hampton School District",5349,0.9489 
"09","01230","06456","CT","Middle Haddam, CT (PO boxes)","East Hampton School District",168,0.0298 
"09","01260","06108","CT","East Hartford, CT","East Hartford School District",9889,0.4629 
"09","01260","06118","CT","East Hartford, CT","East Hartford School District",11472,0.5371 
"09","01290","06473","CT","North Haven, CT","East Haven School District",92,0.0074 
"09","01290","06512","CT","East Haven, CT","East Haven School District",9641,0.7779 
"09","01290","06513","CT","New Haven, CT","East Haven School District",2661,0.2147 
"09","01320","06333","CT","East Lyme, CT","East Lyme School District",2912,0.3207 
"09","01320","06357","CT","Niantic, CT","East Lyme School District",6168,0.6793 
"09","01350","06016","CT","Broad Brook, CT","East Windsor School District",2932,0.5482 
"09","01350","06088","CT","East Windsor, CT","East Windsor School District",2416,0.4518 
"09","01440","06029","CT","Ellington, CT","Ellington School District",7032,0.9969 
"09","01440","06066","CT","Vernon Rockville, CT","Ellington School District",4,0.0006 
"09","01440","06076","CT","Stafford Springs, CT","Ellington School District",4,0.0006 
"09","01440","06084","CT","Tolland, CT","Ellington School District",14,0.002 
"09","01470","06082","CT","Enfield, CT","Enfield School District",17741,1 
"09","01530","06824","CT","Fairfield, CT","Fairfield School District",12194,0.5547 
"09","01530","06825","CT","Fairfield, CT","Fairfield School District",7935,0.361 
"09","01530","06880","CT","Westport, CT","Fairfield School District",34,0.0015 
"09","01530","06890","CT","Southport, CT","Fairfield School District",1819,0.0827 
"09","01560","06001","CT","Avon, CT","Farmington School District",199,0.0171 
"09","01560","06032","CT","Farmington, CT","Farmington School District",8383,0.7185 
"09","01560","06053","CT","New Britain, CT","Farmington School District",9,0.0008 
"09","01560","06062","CT","Plainville, CT","Farmington School District",2,0.0002 
"09","01560","06085","CT","Unionville, CT","Farmington School District",3033,0.26 
"09","01560","06107","CT","West Hartford, CT","Farmington School District",41,0.0035 
"09","01620","06033","CT","Glastonbury, CT","Glastonbury School District",12315,0.8504 
"09","01620","06073","CT","South Glastonbury, CT","Glastonbury School District",2166,0.1496 
"09","01680","06035","CT","Granby, CT","Granby School District",3109,0.699 
"09","01680","06060","CT","North Granby, CT","Granby School District",901,0.2026 
"09","01680","06090","CT","West Granby, CT","Granby School District",438,0.0985 
"09","01710","06807","CT","Cos Cob, CT","Greenwich School District",2845,0.1108 
"09","01710","06830","CT","Greenwich, CT","Greenwich School District",11040,0.43 
"09","01710","06831","CT","Greenwich, CT","Greenwich School District",6086,0.237 
"09","01710","06870","CT","Old Greenwich, CT","Greenwich School District",2801,0.1091 
"09","01710","06878","CT","Riverside, CT","Greenwich School District",2896,0.1128 
"09","01710","06902","CT","Stamford, CT","Greenwich School District",9,0.0004 
"09","01740","06331","CT","Canterbury, CT","Griswold School District",3,0.0006 
"09","01740","06351","CT","Jewett City, CT","Griswold School District",5024,0.9994 
"09","01770","06340","CT","Groton, CT","Groton School District",14131,0.7784 
"09","01770","06355","CT","Mystic, CT","Groton School District",4023,0.2216 
"09","01800","06405","CT","Branford, CT","Guilford School District",2,0.0002 
"09","01800","06437","CT","Guilford, CT","Guilford School District",9688,0.9995 
"09","01800","06443","CT","Madison, CT","Guilford School District",3,0.0003 
"09","01860","06492","CT","Wallingford, CT","Hamden School District",5,0.0002 
"09","01860","06511","CT","New Haven, CT","Hamden School District",70,0.0027 
"09","01860","06514","CT","Hamden, CT","Hamden School District",11409,0.4391 
"09","01860","06517","CT","Hamden, CT","Hamden School District",6839,0.2632 
"09","01860","06518","CT","Hamden, CT","Hamden School District",7661,0.2948 
"09","01920","06095","CT","Windsor, CT","Hartford School District",13,0.0002 
"09","01920","06103","CT","Hartford, CT","Hartford School District",2102,0.0395 
"09","01920","06105","CT","Hartford, CT","Hartford School District",10797,0.2027 
"09","01920","06106","CT","Hartford, CT","Hartford School District",16088,0.3021 
"09","01920","06110","CT","West Hartford, CT","Hartford School District",29,0.0005 
"09","01920","06112","CT","Hartford, CT","Hartford School District",8611,0.1617 
"09","01920","06114","CT","Hartford, CT","Hartford School District",10741,0.2017 
"09","01920","06120","CT","Hartford, CT","Hartford School District",4878,0.0916 
"09","02070","06239","CT","Danielson, CT","Killingly School District",4654,0.5903 
"09","02070","06241","CT","Dayville, CT","Killingly School District",3000,0.3805 
"09","02070","06243","CT","East Killingly, CT","Killingly School District",84,0.0107 
"09","02070","06260","CT","Putnam, CT","Killingly School District",11,0.0014 
"09","02070","06263","CT","Rogers, CT (PO boxes)","Killingly School District",135,0.0171 
"09","02130","06249","CT","Lebanon, CT","Lebanon School District",3147,1 
