"state","place","county","cousub20","stab","CountyName","MCDName","PlaceName","hus20","afact"
"State code","Place code","County code","County subdivision (2020)","State abbr.","County name","County subdivision / MCD name","Place name","Total housing units (2020 Census)","place-to-cousub20 allocation factor"
"09","99999","09003","27600","CT","Hartford CT","Farmington town, Hartford CT","[not in a place]",11667,0.0205 
"09","99999","09003","31240","CT","Hartford CT","Glastonbury town, Hartford CT","[not in a place]",10349,0.0182 
"09","99999","09003","32640","CT","Hartford CT","Granby town, Hartford CT","[not in a place]",2676,0.0047 
"09","99999","09003","37140","CT","Hartford CT","Hartland town, Hartford CT","[not in a place]",843,0.0015 
"09","99999","09003","44700","CT","Hartford CT","Manchester town, Hartford CT","[not in a place]",10124,0.0178 
"09","99999","09003","45820","CT","Hartford CT","Marlborough town, Hartford CT","[not in a place]",1970,0.0035 
"09","99999","09003","60120","CT","Hartford CT","Plainville town, Hartford CT","[not in a place]",8045,0.0141 
"09","99999","09003","65370","CT","Hartford CT","Rocky Hill town, Hartford CT","[not in a place]",9319,0.0164 
"09","99999","09003","68940","CT","Hartford CT","Simsbury town, Hartford CT","[not in a place]",4497,0.0079 
"09","99999","09003","70550","CT","Hartford CT","Southington town, Hartford CT","[not in a place]",17174,0.0302 
"09","99999","09003","71390","CT","Hartford CT","South Windsor town, Hartford CT","[not in a place]",10804,0.019 
"09","99999","09003","74540","CT","Hartford CT","Suffield town, Hartford CT","[not in a place]",5159,0.0091 
"09","99999","09003","87000","CT","Hartford CT","Windsor town, Hartford CT","[not in a place]",12038,0.0212 
"09","99999","09005","02760","CT","Litchfield CT","Barkhamsted town, Litchfield CT","[not in a place]",1417,0.0025 
"09","99999","09005","04930","CT","Litchfield CT","Bethlehem town, Litchfield CT","[not in a place]",605,0.0011 
"09","99999","09005","08210","CT","Litchfield CT","Bridgewater town, Litchfield CT","[not in a place]",791,0.0014 
"09","99999","09005","10940","CT","Litchfield CT","Canaan town, Litchfield CT","[not in a place]",415,0.0007 
"09","99999","09005","16050","CT","Litchfield CT","Colebrook town, Litchfield CT","[not in a place]",694,0.0012 
"09","99999","09005","17240","CT","Litchfield CT","Cornwall town, Litchfield CT","[not in a place]",709,0.0012 
"09","99999","09005","32290","CT","Litchfield CT","Goshen town, Litchfield CT","[not in a place]",1708,0.003 
"09","99999","09005","37280","CT","Litchfield CT","Harwinton town, Litchfield CT","[not in a place]",916,0.0016 
"09","99999","09005","40290","CT","Litchfield CT","Kent town, Litchfield CT","[not in a place]",1687,0.003 
"09","99999","09005","43370","CT","Litchfield CT","Litchfield town, Litchfield CT","[not in a place]",2859,0.005 
"09","99999","09005","49460","CT","Litchfield CT","Morris town, Litchfield CT","[not in a place]",1253,0.0022 
"09","99999","09005","51350","CT","Litchfield CT","New Hartford town, Litchfield CT","[not in a place]",2311,0.0041 
"09","99999","09005","52630","CT","Litchfield CT","New Milford town, Litchfield CT","[not in a place]",8250,0.0145 
"09","99999","09005","53470","CT","Litchfield CT","Norfolk town, Litchfield CT","[not in a place]",596,0.001 
"09","99999","09005","54030","CT","Litchfield CT","North Canaan town, Litchfield CT","[not in a place]",939,0.0017 
"09","99999","09005","60750","CT","Litchfield CT","Plymouth town, Litchfield CT","[not in a place]",2753,0.0048 
"09","99999","09005","65930","CT","Litchfield CT","Roxbury town, Litchfield CT","[not in a place]",1163,0.002 
"09","99999","09005","66420","CT","Litchfield CT","Salisbury town, Litchfield CT","[not in a place]",1874,0.0033 
"09","99999","09005","67960","CT","Litchfield CT","Sharon town, Litchfield CT","[not in a place]",1286,0.0023 
"09","99999","09005","75730","CT","Litchfield CT","Thomaston town, Litchfield CT","[not in a place]",2351,0.0041 
"09","99999","09005","79510","CT","Litchfield CT","Warren town, Litchfield CT","[not in a place]",790,0.0014 
"09","99999","09005","79720","CT","Litchfield CT","Washington town, Litchfield CT","[not in a place]",1395,0.0025 
"09","99999","09005","80490","CT","Litchfield CT","Watertown town, Litchfield CT","[not in a place]",3422,0.006 
"09","99999","09005","86440","CT","Litchfield CT","Winchester town, Litchfield CT","[not in a place]",1586,0.0028 
"09","99999","09005","87910","CT","Litchfield CT","Woodbury town, Litchfield CT","[not in a place]",3856,0.0068 
